Time,Winner,Loser,Result
2025-12-31 13:51:21,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:51:38,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:52:02,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:52:24,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:52:32,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:52:49,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:53:12,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:53:18,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:53:44,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:53:49,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:54:37,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:54:42,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:55:01,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:55:25,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:55:34,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:55:48,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:56:10,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:56:25,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:56:28,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:56:47,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:57:03,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:57:20,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:57:59,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:57:59,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:58:24,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:58:50,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:58:53,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:59:21,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 13:59:46,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:00:02,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:00:07,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:00:29,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:00:49,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:01:06,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:01:27,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:01:33,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:02:03,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:02:18,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:02:39,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:02:51,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:03:08,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:03:14,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:03:31,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:03:32,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:03:54,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:04:10,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:04:15,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:04:19,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:04:38,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:04:55,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:05:02,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2025-12-31 14:05:15,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:43:09,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:43:14,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:43:23,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:44:46,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:45:13,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:46:23,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:46:32,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
2026-01-01 15:47:20,Stockfish,AntigravityZero,Stockfish beats AntigravityZero
